,file,category,prediction
15,data_11-whitespace-aug/val/iv/D-584.png,iv,ii
28,data_11-whitespace-aug/val/iv/D-515.png,iv,ix
31,data_11-whitespace-aug/val/iv/D-541.png,iv,ix
36,data_11-whitespace-aug/val/iv/D-536.png,iv,iii
39,data_11-whitespace-aug/val/iv/D-534.png,iv,ii
53,data_11-whitespace-aug/val/iv/D-537.png,iv,ix
60,data_11-whitespace-aug/val/iv/D-525.png,iv,ix
65,data_11-whitespace-aug/val/iv/E-540.png,iv,v
96,data_11-whitespace-aug/val/v/E-577.png,v,x
168,data_11-whitespace-aug/val/ii/B-538.png,ii,i
170,data_11-whitespace-aug/val/ii/B-525.png,ii,vi
175,data_11-whitespace-aug/val/ii/B-541.png,ii,iii
176,data_11-whitespace-aug/val/ii/B-517.png,ii,iii
179,data_11-whitespace-aug/val/ii/B-533.png,ii,i
195,data_11-whitespace-aug/val/ii/B-513.png,ii,i
207,data_11-whitespace-aug/val/ii/B-535.png,ii,vi
214,data_11-whitespace-aug/val/ii/B-526.png,ii,ix
219,data_11-whitespace-aug/val/ii/B-523.png,ii,i
220,data_11-whitespace-aug/val/ii/B-556.png,ii,iii
224,data_11-whitespace-aug/val/ii/A-552.png,ii,i
240,data_11-whitespace-aug/val/ii/B-552.png,ii,i
246,data_11-whitespace-aug/val/iii/C-563.png,iii,vii
251,data_11-whitespace-aug/val/iii/C-565.png,iii,iv
306,data_11-whitespace-aug/val/iii/C-573.png,iii,iv
307,data_11-whitespace-aug/val/iii/C-509.png,iii,vii
313,data_11-whitespace-aug/val/iii/C-578.png,iii,iv
343,data_11-whitespace-aug/val/vii/G-511.png,vii,viii
348,data_11-whitespace-aug/val/vii/G-566.png,vii,viii
353,data_11-whitespace-aug/val/vii/G-569.png,vii,vi
356,data_11-whitespace-aug/val/vii/G-529.png,vii,iii
365,data_11-whitespace-aug/val/vii/G-567.png,vii,vi
368,data_11-whitespace-aug/val/vii/G-546.png,vii,ii
377,data_11-whitespace-aug/val/vii/G-524.png,vii,viii
378,data_11-whitespace-aug/val/vii/G-558.png,vii,viii
379,data_11-whitespace-aug/val/vii/G-534.png,vii,v
390,data_11-whitespace-aug/val/vii/G-573.png,vii,vi
393,data_11-whitespace-aug/val/vii/G-528.png,vii,viii
394,data_11-whitespace-aug/val/vii/G-509.png,vii,viii
397,data_11-whitespace-aug/val/vii/G-574.png,vii,vi
413,data_11-whitespace-aug/val/x/J-531.png,x,v
444,data_11-whitespace-aug/val/x/J-560.png,x,v
538,data_11-whitespace-aug/val/i/A-523.png,i,x
562,data_11-whitespace-aug/val/ix/I-561.png,ix,iii
563,data_11-whitespace-aug/val/ix/I-519.png,ix,ii
578,data_11-whitespace-aug/val/ix/I-578.png,ix,iv
579,data_11-whitespace-aug/val/ix/I-545.png,ix,vi
590,data_11-whitespace-aug/val/ix/I-563.png,ix,iv
598,data_11-whitespace-aug/val/ix/I-528.png,ix,iv
607,data_11-whitespace-aug/val/ix/I-530.png,ix,ii
628,data_11-whitespace-aug/val/ix/I-517.png,ix,iv
670,data_11-whitespace-aug/val/vi/F-505.png,vi,iii
697,data_11-whitespace-aug/val/vi/F-530.png,vi,vii
709,data_11-whitespace-aug/val/viii/H-571.png,viii,vii
714,data_11-whitespace-aug/val/viii/H-526.png,viii,vii
729,data_11-whitespace-aug/val/viii/H-555.png,viii,vii
732,data_11-whitespace-aug/val/viii/H-509.png,viii,vii
735,data_11-whitespace-aug/val/viii/H-548.png,viii,vii
736,data_11-whitespace-aug/val/viii/H-576.png,viii,vii
751,data_11-whitespace-aug/val/viii/H-575.png,viii,vii
754,data_11-whitespace-aug/val/viii/H-514.png,viii,vii
755,data_11-whitespace-aug/val/viii/H-533.png,viii,vii
757,data_11-whitespace-aug/val/viii/H-519.png,viii,vii
767,data_11-whitespace-aug/val/viii/H-521.png,viii,iii
772,data_11-whitespace-aug/val/viii/H-542.png,viii,iii
775,data_11-whitespace-aug/val/viii/H-517.png,viii,vii
777,data_11-whitespace-aug/val/viii/H-520.png,viii,vii
778,data_11-whitespace-aug/val/viii/H-551.png,viii,vii
787,data_11-whitespace-aug/label_book/iv/a7183a10-ce5d-11eb-b317-38f9d35ea60f.png,iv,i
788,data_11-whitespace-aug/label_book/v/a88a741c-ce5d-11eb-b317-38f9d35ea60f.png,v,ii
794,data_11-whitespace-aug/label_book/ii/a3b8f1fc-ce5d-11eb-b317-38f9d35ea60f.png,ii,iii
804,data_11-whitespace-aug/label_book/iii/aa5a5a3c-ce5d-11eb-b317-38f9d35ea60f.png,iii,ii
805,data_11-whitespace-aug/label_book/vii/a55094e8-ce5d-11eb-b317-38f9d35ea60f.png,vii,viii
806,data_11-whitespace-aug/label_book/vii/a5ade382-ce5d-11eb-b317-38f9d35ea60f.png,vii,iii
815,data_11-whitespace-aug/label_book/i/a4b1d326-ce5d-11eb-b317-38f9d35ea60f.png,i,v
820,data_11-whitespace-aug/label_book/ix/a7ae10bc-ce5d-11eb-b317-38f9d35ea60f.png,ix,iv
821,data_11-whitespace-aug/label_book/ix/a7dae376-ce5d-11eb-b317-38f9d35ea60f.png,ix,ii
822,data_11-whitespace-aug/label_book/ix/a7967416-ce5d-11eb-b317-38f9d35ea60f.png,ix,i
827,data_11-whitespace-aug/label_book/vi/a2f7b186-ce5d-11eb-b317-38f9d35ea60f.png,vi,i
